rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
2947,1779,begeben,"","",begebe,"",begibst,"",begibt,begab,"",begeben,"","begäbe","",begib,"","",begebt,"",haben,"","","","","",""
2964,1767,befolgen,"","",befolge,"",befolgst,"",befolgt,befolgte,"",befolgt,"",befolgte,"",befolg,befolge,"",befolgt,"",haben,"","","","","",""
2970,1759,baden,"","",bade,"",badest,"",badet,badete,"",gebadet,"",badete,"",bade,"","",badet,"",haben,"","Bundesarchiv Bild 102-09247, Berlinerin im Schaumbad.jpg|mini|3|eine ''badende'' Frau","","","",""
2973,1756,klettern,"","",klettere,"",kletterst,"",klettert,kletterte,"",geklettert,"",kletterte,"",kletter,"","",klettert,"",sein,"","BW 2012-08-26 Rustam Gelmanov RUS 0808.ogv|mini|2|jemand ''klettert'' an einer [[künstlich]]en [[Wand]]","","","",""
2974,1756,eintreffen,"","","treffe ein","","triffst ein","","trifft ein","traf ein","",eingetroffen,"","träfe ein","","triff ein","","","trefft ein","",sein,"","","","","",""
2985,1746,"überreden","","","überrede","","überredest","","überredet","überredete","","überredet","","überredete","","überrede","","","überredet","",haben,"","","","","",""
2986,1745,"zustoßen","","","stoße zu","","stößt zu","","stößt zu","stieß zu","","zugestoßen","","stieße zu","","stoß zu","stoße zu","","stoßt zu","",haben,sein,"","","","",""
2987,1744,umkehren,"","","kehre um","","kehrst um","","kehrt um","kehrte um","",umgekehrt,"","kehrte um","","kehr um","kehre um","","kehrt um","",sein,haben,"","","","",""
2988,1743,servieren,"","",serviere,"",servierst,"",serviert,servierte,"",serviert,"",servierte,"",servier,serviere,"",serviert,"",haben,"","","","","",""
3015,1715,abschalten,"","","schalte ab","","schaltest ab","","schaltet ab","schaltete ab","",abgeschaltet,"","schaltete ab","","schalt ab","schalte ab","","schaltet ab","",haben,"","","","","",""
3020,1713,biegen,"",X,biege,"",biegst,"",biegt,bog,"",gebogen,"","böge","",biege,"","",biegt,"",haben,"","","","","",""
3024,1712,ermitteln,"","",ermittle,"",ermittelst,"",ermittelt,ermittelte,"",ermittelt,"",ermittelte,"",ermittle,"","",ermittelt,"",haben,"","","","","",""
3030,1706,engagieren,"","",engagiere,"",engagierst,"",engagiert,engagierte,"",engagiert,"",engagierte,"",engagiere,engagier,"",engagiert,"",haben,"","","","","",""
3033,1705,zugreifen,"","","greife zu","","greifst zu","","greift zu","griff zu","",zugegriffen,"","griffe zu","","greife zu","greif zu","","greift zu","",haben,"","","","","",""
3034,1705,manipulieren,"","",manipuliere,"",manipulierst,"",manipuliert,manipulierte,"",manipuliert,"",manipulierte,"",manipuliere,manipulier,"",manipuliert,"",haben,"","","","","",""
3036,1702,wegwerfen,"","","werfe weg","","wirfst weg","","wirft weg","warf weg","",weggeworfen,"","würfe weg","","wirf weg","","","werft weg","",haben,"","","","","",""
3037,1702,rasen,"","",rase,"",rast,"",rast,raste,"",gerast,"",raste,"",ras,rase,"",rast,"",sein,haben,"","","","",""
3039,1701,"bemühen","","","bemühe","","bemühst","","bemüht","bemühte","","bemüht","","bemühte","","bemüh","","","bemüht","",haben,"","","","","",""
3040,1700,versehen,"","",versehe,"",versiehst,"",versieht,versah,"",versehen,"","versähe","",versieh,"","",verseht,"",haben,"","","","","",""
3041,1700,"aufspüren","","","spüre auf","","spürst auf","","spürt auf","spürte auf","","aufgespürt","","spürte auf","","spür auf","spüre auf","","spürt auf","",haben,"","","","","",""
3047,1698,ausrichten,"","","richte aus","","richtest aus","","richtet aus","richtete aus","",ausgerichtet,"","richtete aus","","richte aus","","","richtet aus","",haben,"","","","","",""
3048,1697,"überstehen","","","stehe über","","stehst über","","steht über","stand über","","übergestanden","","stände über","stünde über","steh über","stehe über","","steht über","",haben,sein,"","","","",""
3048,1697,"überstehen","","","überstehe","","überstehst","","übersteht","überstand","","überstanden","","überstände","überstünde","übersteh","überstehe","","übersteht","",haben,"","","","","",""
3051,1696,pflanzen,"","",pflanze,"",pflanzt,"",pflanzt,pflanzte,"",gepflanzt,"",pflanzte,"",pflanze,pflanz,"",pflanzt,pflanzet,haben,"","","DSC 0912 (4996034567).jpg|mini|1|''Pflanzen'' einer [[Kastanie]]","HUERTO ESCOLAR 011 (2).jpg|mini|1|[[Kind]]er ''pflanzen'' [[Salat]]","India - Sights &amp; Culture - Planting Rice Paddy 5 (3245008474).jpg|mini|1|''Pflanzen'' von [[Reis]]","Ap14 flag.ogv|mini|2|[[Astronaut]]en von [[w:Apollo 14|Apollo 14]] ''pflanzen'' auf dem [[Mond]] die US-[[Flagge]]"
3054,1695,auflegen,"","","lege auf","","legst auf","","legt auf","legte auf","",aufgelegt,"","legte auf","","leg auf","lege auf","","legt auf","",haben,"","","","","",""
3055,1694,durchziehen,"","",durchziehe,"",durchziehst,"",durchzieht,durchzog,"",durchzogen,"","durchzöge","",durchziehe,"","",durchzieht,"",haben,"","","","","",""
3055,1694,durchziehen,"","","ziehe durch","","ziehst durch","","zieht durch","zog durch","",durchgezogen,"","zöge durch","","zieh durch","","","zieht durch","",haben,sein,"","","","",""
3057,1690,infizieren,"","",infiziere,"",infizierst,"",infiziert,infizierte,"",infiziert,"",infizierte,"",infiziere,infizier,"",infiziert,"",haben,"","","","","",""
3061,1687,"entschließen",X,"","entschließe","","entschließt","","entschließt",entschloss,"",entschlossen,"","entschlösse","","entschließ","entschließe","","entschließt","",haben,"","","","","",""
3062,1687,abreisen,"","","reise ab","","reist ab","","reist ab","reiste ab","",abgereist,"","reiste ab","","reise ab","","","reist ab","",sein,"","","","","",""
3069,1684,vorfahren,"","","fahre vor","","fährst vor","","fährt vor","fuhr vor","",vorgefahren,"","führe vor","","fahr vor","fahre vor","","fahrt vor","",haben,sein,"","","","",""
3071,1684,vertreiben,"","",vertreibe,"",vertreibst,"",vertreibt,vertrieb,"",vertrieben,"",vertriebe,"",vertreibe,"","",vertreibt,"",haben,"","","","","",""
3075,1681,orten,"","",orte,"",ortest,"",ortet,ortete,"",geortet,"",ortete,"",orte,"","",ortet,"",haben,"","","","","",""
3082,1676,anrichten,"","","richte an","","richtest an","","richtet an","richtete an","",angerichtet,"","richtete an","","richte an","","","richtet an","",haben,"","","","","",""
3086,1673,buchen,"","",buche,"",buchst,"",bucht,buchte,"",gebucht,"",buchte,"",buch,buche,"",bucht,"",haben,"","","","","",""
3097,1668,bequemen,"","",bequeme,"",bequemst,"",bequemt,bequemte,"",bequemt,"",bequemte,"",bequem,bequeme,"",bequemt,"",haben,"","","","","",""
3102,1665,"anfühlen","","","fühle an","","fühlst an","","fühlt an","fühlte an","","angefühlt","","fühlte an","","fühl an","fühle an","","fühlt an","",haben,"","","","","",""
3103,1665,eindringen,"","","dringe ein","","dringst ein","","dringt ein","drang ein","",eingedrungen,"","dränge ein","","dringe ein","","","dringt ein","",sein,"","","","","",""
3107,1663,"aufräumen","","","räume auf","","räumst auf","","räumt auf","räumte auf","","aufgeräumt","","räumte auf","","räum auf","räume auf","","räumt auf","",haben,"","","","","",""
3113,1660,"auswählen","","","wähle aus","","wählst aus","","wählt aus","wählte aus","","ausgewählt","","wählte aus","","wähl aus","wähle aus","","wählt aus","",haben,"","","","","",""
3120,1654,freilassen,"","","lasse frei","","lässt frei","","lässt frei","ließ frei","",freigelassen,"","ließe frei","","lass frei","lasse frei","","lasst frei","",haben,"","","","","",""
3122,1653,"veröffentlichen","","","veröffentliche","","veröffentlichst","","veröffentlicht","veröffentlichte","","veröffentlicht","","veröffentlichte","","veröffentlich","veröffentliche","","veröffentlicht","",haben,"","","","","",""
3123,1652,aufstellen,"","","stelle auf","","stellst auf","","stellt auf","stellte auf","",aufgestellt,"","stellte auf","","stell auf","stelle auf","","stellt auf","",haben,"","","","","",""
3136,1641,"zögern","","","zögere","","zögerst","","zögert","zögerte","","gezögert","","zögerte","","zögere","","","zögert","",haben,"","","","","",""
3137,1641,ersparen,"","",erspare,"",ersparst,"",erspart,ersparte,"",erspart,"",ersparte,"",erspar,erspare,"",erspart,"",haben,"","","","","",""
3141,1640,schlucken,"","",schlucke,"",schluckst,"",schluckt,schluckte,"",geschluckt,"",schluckte,"",schlucke,schluck,"",schluckt,"",haben,"","","","","",""
3153,1632,"durchführen","","","führe durch","","führst durch","","führt durch","führte durch","","durchgeführt","","führte durch","","führ durch","führe durch","","führt durch","",haben,"","","","","",""
3156,1631,"übernachten","","","übernachte","","übernachtest","","übernachtet","übernachtete","","übernachtet","","übernachtete","","übernachte","","","übernachtet","",haben,"","","","","",""
3158,1630,ansprechen,"","","spreche an","","sprichst an","","spricht an","sprach an","",angesprochen,"","spräche an","","sprich an","","","sprecht an","",haben,"","","","","",""
3163,1629,vorkommen,"","","komme vor","","kommst vor","","kommt vor","kam vor","",vorgekommen,"","käme vor","","komm vor","","","kommt vor","",sein,"","","","","",""
3164,1629,"abhängen","","","hänge ab","","hängst ab","","hängt ab","hing ab","",abgehangen,"","hinge ab","","häng ab","hänge ab","","hängt ab","",haben,"","","","","",""
3164,1629,"abhängen","","","hänge ab","","hängst ab","","hängt ab","hängte ab","","abgehängt","","hängte ab","","häng ab","hänge ab","","hängt ab","",haben,"","","","","",""
3165,1628,mieten,"",X,miete,"",mietest,"",mietet,mietete,"",gemietet,"",mietete,"",miete,"","",mietet,"",haben,"","","","","",""
3175,1620,versammeln,"","",versammle,versammele,versammelst,"",versammelt,versammelte,"",versammelt,"",versammelte,"",versammle,"","",versammelt,"",haben,"","","","","",""
3183,1614,belieben,"","",beliebe,"",beliebst,"",beliebt,beliebte,"",beliebt,"",beliebte,"",belieb,beliebe,"",beliebet,"",haben,"","","","","",""
3184,1614,"einschließen","","","schließe ein","","schließt ein","","schließt ein","schloss ein","",eingeschlossen,"","schlösse ein","","schließ ein","schließe ein","","schließt ein","",haben,"","","","","",""
3186,1611,ablaufen,"","","laufe ab","","läufst ab","","läuft ab","lief ab","",abgelaufen,"","liefe ab","","laufe ab","","","lauft ab","",haben,sein,"","","","",""
3187,1611,anstrengen,"","","strenge an","","strengst an","","strengt an","strengte an","",angestrengt,"","strengte an","","strenge an","","","strengt an","",haben,"","Knut muede tw1.jpg|mini|1|Ein [[Eisbär]] ([[w:Knut (Eisbär)|Knut]]), der gerade nicht ''angestrengt'' ist","","","",""
3193,1606,"beschädigen","","","beschädige","","beschädigst","","beschädigt","beschädigte","","beschädigt","","beschädigte","","beschädige","","","beschädigt","",haben,"","","","","",""
3194,1604,"erschöpfen","","","erschöpfe","","erschöpfst","","erschöpft","erschöpfte","","erschöpft","","erschöpfte","","erschöpf","erschöpfe","","erschöpft","",haben,"","","","","",""
3195,1600,schelten,"","",schelte,"",schiltst,"",schilt,schalt,"",gescholten,"","schölte","schälte",schilt,"","",scheltet,"",haben,"","","","","",""
3197,1599,sicherstellen,"","","stelle sicher","","stellst sicher","","stellt sicher","stellte sicher","",sichergestellt,"","stellte sicher","","stell sicher","stelle sicher","","stellt sicher","",haben,"","","","","",""
3200,1595,verwickeln,"","",verwickele,"",verwickelst,"",verwickelt,verwickelte,"",verwickelt,"",verwickelte,"",verwickel,verwickele,"",verwickelt,"",haben,"","","","","",""
3203,1592,aufbrechen,"","","breche auf","","brichst auf","","bricht auf","brach auf","",aufgebrochen,"","bräche auf","","brich auf","","","brecht auf","",sein,haben,"","","","",""
3204,1591,ablegen,"","","lege ab","","legst ab","","legt ab","legte ab","",abgelegt,"","legte ab","","lege ab","","","legt ab","",haben,"","","","","",""
3206,1590,foltern,"","",foltere,"",folterst,"",foltert,folterte,"",gefoltert,"",folterte,"",foltere,"","",foltert,"",haben,"","","","","",""
3211,1588,"überfahren","","","fahre über","","fährst über","","fährt über","fuhr über","","übergefahren","","führe über","","fahre über","","","fahrt über","",sein,haben,"","","","",""
3211,1588,"überfahren","","","überfahre","","überfährst","","überfährt","überfuhr","","überfahren","","überführe","","überfahre","","","überfahrt","",haben,"","","","","",""
3212,1588,haken,"","",hake,"",hakst,"",hakt,hakte,"",gehakt,"",hakte,"",hake,"","",hakt,"",haben,"","","","","",""
3214,1587,"übertragen","","","übertrage","","überträgst","","überträgt","übertrug","","übertragen","","übertrüge","","übertrag","übertrage","","übertragt","",haben,"","","","","",""
3216,1587,tropfen,"","",tropfe,"",tropfst,"",tropft,tropfte,"",getropft,"",tropfte,"",tropfe,tropf,"",tropft,"",haben,"","","","","",""
3217,1586,blockieren,"","",blockiere,"",blockierst,"",blockiert,blockierte,"",blockiert,"",blockierte,"",blockier,blockiere,"",blockiert,"",haben,"","","","","",""
3218,1586,erregen,"","",errege,"",erregst,"",erregt,erregte,"",erregt,"",erregte,"",errege,erreg,"",erregt,"",haben,"","","","","",""
3228,1579,"zurückrufen","","","rufe zurück","","rufst zurück","","ruft zurück","rief zurück","","zurückgerufen","","riefe zurück","","ruf zurück","rufe zurück","","ruft zurück","",haben,"","","","","",""
3230,1575,"münzen","","","münze","","münzt","","münzt","münzte","","gemünzt","","münzte","","münz","münze","","münzt","",haben,"","","","","",""
3243,1566,beseitigen,"","",beseitige,"",beseitigst,"",beseitigt,beseitigte,"",beseitigt,"",beseitigte,"",beseitige,"","",beseitigt,"",haben,"","","","","",""
3247,1564,verpflichten,"",X,verpflichte,"",verpflichtest,"",verpflichtet,verpflichtete,"",verpflichtet,"",verpflichtete,"",verpflichte,"","",verpflichtet,"",haben,"","","","","",""
3248,1561,wiegen,"","",wiege,"",wiegst,"",wiegt,wiegte,"",gewiegt,"",wiegte,"",wieg,wiege,"",wiegt,"",haben,"","","","","",""
3248,1561,wiegen,"","",wiege,"",wiegst,"",wiegt,wog,"",gewogen,"","wöge","",wieg,wiege,"",wiegt,"",haben,"","","Digitalwaage IMGP1358 wp.jpg|thumb|1|auf der Küchenwaage etwas ''wiegen''","Personenwaage fcm.jpg|thumb|1|Körpergewicht auf der Personenwaage ''wiegen''","",""
3252,1559,angeln,"","",angle,angele,angelst,"",angelt,angelte,"",geangelt,"",angelte,"",angle,angele,"",angelt,"",haben,"","","","","",""
3253,1558,lenken,"","",lenke,"",lenkst,"",lenkt,lenkte,"",gelenkt,"",lenkte,"",lenk,"","",lenkt,"",haben,"","Driving the new Mercedes A-Class 2012 (7661463504).jpg|thumb|1|ein [[Fahrzeug]] ''lenken''","","","",""
3256,1557,verehren,"","",verehre,"",verehrst,"",verehrt,verehrte,"",verehrt,"",verehrte,"",verehre,"","",verehrt,"",haben,"","","","","",""
3260,1556,hupen,"","",hupe,"",hupst,"",hupt,hupte,"",gehupt,"",hupte,"",hupe,"","",hupt,"",haben,"","","","","",""
3270,1549,fotografieren,"","",fotografiere,"",fotografierst,"",fotografiert,fotografierte,"",fotografiert,"",fotografierte,"",fotografiere,fotografier,"",fotografiert,"",haben,"","","Slawenwall Schweriner Schloss by Olaf Kosinsky040.jpg|thumb|1|Ein [[Fotograf]] [[drücken|drückt]] auf den [[Auslöser]], er ''fotografiert.''","Couple au Trocadero, Paris 18 Octobre 2013.jpg|thumb|1|Ein [[Tourist]] ''fotografiert'' seine [[Freundin]] vor dem [[Eiffelturm]].","",""
3280,1544,verzichten,"","",verzichte,"",verzichtest,"",verzichtet,verzichtete,"",verzichtet,"",verzichtete,"",verzichte,"","",verzichtet,"",haben,"","","","","",""
3283,1542,unterzeichnen,"","",unterzeichne,"",unterzeichnest,"",unterzeichnet,unterzeichnete,"",unterzeichnet,"",unterzeichnete,"",unterzeichne,"","",unterzeichnet,"",haben,"","","","","",""
3292,1535,"flüchten","","","flüchte","","flüchtest","","flüchtet","flüchtete","","geflüchtet","","flüchtete","","flüchte","","","flüchtet","",sein,"","","","","",""
3296,1532,ausrauben,"","","raube aus","","raubst aus","","raubt aus","raubte aus","",ausgeraubt,"","raubte aus","","raub aus","raube aus","","raubt aus","",haben,"","","","","",""
3306,1524,scheitern,"","",scheitere,"",scheiterst,"",scheitert,scheiterte,"",gescheitert,"",scheiterte,"",scheitere,"","",scheitert,"",sein,"","","","","",""
3312,1521,abwarten,"","","warte ab","","wartest ab","","wartet ab","wartete ab","",abgewartet,"","wartete ab","","wart ab","warte ab","","wartet ab","",haben,"","","","","",""
3318,1517,checken,"","",checke,"",checkst,"",checkt,checkte,"",gecheckt,"",checkte,"",check,"","",checkt,"",haben,"","","","","",""
3321,1514,entgehen,"","",entgehe,"",entgehst,"",entgeht,entging,"",entgangen,"",entginge,"",entgehe,"","",entgeht,"",sein,"","","","","",""
3326,1512,basieren,"","",basiere,"",basierst,"",basiert,basierte,"",basiert,"",basierte,"",basier,basiere,"",basiert,"",haben,"","","","","",""
3339,1505,absetzen,"","","setze ab","","setzt ab","","setzt ab","setzte ab","",abgesetzt,"","setzte ab","","setz ab","","","setzt ab","",haben,"","","","","",""
3342,1503,gehorchen,"","",gehorche,"",gehorchst,"",gehorcht,gehorchte,"",gehorcht,"",gehorchte,"",gehorch,gehorche,"",gehorcht,"",haben,"","","","","",""
3344,1502,erzeugen,"","",erzeuge,"",erzeugst,"",erzeugt,erzeugte,"",erzeugt,"",erzeugte,"",erzeug,erzeuge,"",erzeugt,"",haben,"","","","","",""
3348,1501,widmen,"","",widme,"",widmest,"",widmet,widmete,"",gewidmet,"",widmete,"",widme,"","",widmet,"",haben,"","","","","",""
3358,1495,kriechen,"","",krieche,"",kriechst,"",kriecht,kroch,"",gekrochen,"","kröche","",kriech,krieche,"",kriecht,"",sein,"","","HD.11B.108 (11823067234).jpg|thumb|1|[[auf allen vieren]] ''kriechen'' im [[Bergwerksstollen]]","","",""
3360,1495,erobern,"","",erobere,"",eroberst,"",erobert,eroberte,"",erobert,"",eroberte,"",erobre,erobere,"",erobert,"",haben,"","","","","",""
3369,1491,"befördern","","","befördere","","beförderst","","befördert","beförderte","","befördert","","beförderte","","befördere","","","befördert","",haben,"","","","","",""
3371,1490,messen,"","",messe,"",misst,"",misst,"maß","",gemessen,"","mäße","",miss,"","",messt,"",haben,"","","Using the caliper new.gif|thumb|1|eine [[Schublehre]] ''misst'' einen [[Durchmesser]] [[genau]]er, als ein [[Zollstock]]","2013. День защиты детей 230.jpg|thumb|1|die [[Temperatur]] mit einem [[Thermometer]] ''messen''","",""
3372,1490,deuten,"","",deute,"",deutest,"",deutet,deutete,"",gedeutet,"",deutete,"",deut,deute,"",deutet,"",haben,"","","","","",""
3379,1483,kratzen,"","",kratze,"",kratzt,"",kratzt,kratzte,"",gekratzt,"",kratzte,"",kratz,"","",kratzt,"",haben,"","Itch.jpg|thumb|1|Ein [[Mann]] ''kratzt'' sich den [[Rücken]].","","","",""
3390,1478,erziehen,"","",erziehe,"",erziehst,"",erzieht,erzog,"",erzogen,"","erzöge","",erzieh,erziehe,"",erzieht,"",haben,"","","","","",""
3396,1475,hellen,"","",helle,"",hellst,"",hellt,hellte,"",gehellt,"",hellte,"",hell,helle,"",hellt,"",haben,"","","","","",""
3399,1475,ausbrechen,X,"","breche aus","","brichst aus","","bricht aus","brach aus","",ausgebrochen,"","bräche aus","","brich aus","","","brecht aus","",haben,sein,"","","","",""
3406,1470,produzieren,"","",produziere,"",produzierst,"",produziert,produzierte,"",produziert,"",produzierte,"",produzier,produziere,"",produziert,"",haben,"","","","","",""
3412,1467,lehnen,"","",lehne,"",lehnst,"",lehnt,lehnte,"",gelehnt,"",lehnte,"",lehn,lehne,"",lehnt,"",haben,"","Sky team - 1st stage Tour of Slovenia 2015.jpg|thumb|1|[[Radfahrer]] müssen sich in die [[Kurve]] ''lehnen''","","","",""
3416,1465,"ächzen","","","ächze","","ächzt","","ächzt","ächzte","","geächzt","","ächzte","","ächze","","","ächzt","",haben,"","","","","",""
