rank,freq,Wort,Wortart,"Hörbeispiele",Synonyme,"Gegenwörter","Übersetzung",pronunciation_url
44,317788,kommen,Verb,de-kommen.ogg,NYI,NYI,"come, arrive, advance, return, happen, take place, come on, come from, be due to",https://commons.wikimedia.org/wiki/Special:FilePath/de-kommen.ogg
45,280421,geben,Verb,De-geben.ogg,NYI,NYI,"give, be|there is",https://commons.wikimedia.org/wiki/Special:FilePath/De-geben.ogg
46,277547,auch,Adverb,De-auch.ogg,NYI,NYI,"also, too, as well, item",https://commons.wikimedia.org/wiki/Special:FilePath/De-auch.ogg
47,276809,schon,Adverb,De-schon.ogg,NYI,NYI,already,https://commons.wikimedia.org/wiki/Special:FilePath/De-schon.ogg
48,275361,als,Konjunktion,De-als.ogg,NYI,NYI,"than, when, as",https://commons.wikimedia.org/wiki/Special:FilePath/De-als.ogg
49,274768,jetzt,Adverb,De-jetzt.ogg,NYI,NYI,"now, right now",https://commons.wikimedia.org/wiki/Special:FilePath/De-jetzt.ogg
50,271291,Mal,"Abkürzung","",NYI,NYI,"",""
51,269701,aus,"Präposition",de-aus.ogg,NYI,NYI,"from, out of, from, of",https://commons.wikimedia.org/wiki/Special:FilePath/de-aus.ogg
52,268714,um,"Präposition",De-um.ogg,NYI,NYI,"around, about, round, at, by, about, for, to, after",https://commons.wikimedia.org/wiki/Special:FilePath/De-um.ogg
53,264865,dann,Adverb,De-dann.ogg,NYI,NYI,then,https://commons.wikimedia.org/wiki/Special:FilePath/De-dann.ogg
54,264799,einer,Artikel,De-einer.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-einer.ogg
55,263093,alle,Adverb,De-alle.ogg,NYI,NYI,"used up, all gone",https://commons.wikimedia.org/wiki/Special:FilePath/De-alle.ogg
56,251908,im,Kontraktion,De-im.ogg,NYI,NYI,"in the",https://commons.wikimedia.org/wiki/Special:FilePath/De-im.ogg
57,233508,doch,Adverb,De-doch.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-doch.ogg
58,225172,"weiß",Adjektiv,"De-weiß.ogg",NYI,NYI,"white, Caucasian","https://commons.wikimedia.org/wiki/Special:FilePath/De-weiß.ogg"
59,217839,wissen,Verb,De-wissen.ogg,NYI,NYI,know,https://commons.wikimedia.org/wiki/Special:FilePath/De-wissen.ogg
60,214775,oder,Partikel,De-oder.ogg,NYI,NYI,"or, else, isn't it",https://commons.wikimedia.org/wiki/Special:FilePath/De-oder.ogg
61,207669,nach,"Präposition",De-nach.ogg,NYI,NYI,"to, at, for, after, later, past, behind, as to",https://commons.wikimedia.org/wiki/Special:FilePath/De-nach.ogg
63,193569,nichts,Indefinitpronomen,De-nichts.ogg,NYI,NYI,nothing,https://commons.wikimedia.org/wiki/Special:FilePath/De-nichts.ogg
64,189101,sollen,Verb,De-sollen.ogg,NYI,NYI,"shall, should",https://commons.wikimedia.org/wiki/Special:FilePath/De-sollen.ogg
65,188465,man,Indefinitpronomen,De-at-man.ogg,NYI,NYI,"one, you",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-man.ogg
66,186838,wo,Adverb,"De-Wo.OGG‎‎",NYI,NYI,where,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Wo.OGG‎‎"
67,181934,etwas,Indefinitpronomen,De-at-etwas.ogg,NYI,NYI,"some, anything, something",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-etwas.ogg
68,181625,muss,"Konjugierte Form",De-muss.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-muss.ogg
69,181538,denken,Verb,De-denken.ogg,NYI,NYI,think,https://commons.wikimedia.org/wiki/Special:FilePath/De-denken.ogg
70,180879,viel,Adverb,De-viel.ogg,NYI,NYI,"a lot, much, many",https://commons.wikimedia.org/wiki/Special:FilePath/De-viel.ogg
71,178751,all,Indefinitpronomen,De-aller.ogg,NYI,NYI,all,https://commons.wikimedia.org/wiki/Special:FilePath/De-aller.ogg
72,178134,oh,Interjektion,"",NYI,NYI,oh,""
73,177486,mehr,Indefinitpronomen,De-mehr2.ogg,NYI,NYI,more,https://commons.wikimedia.org/wiki/Special:FilePath/De-mehr2.ogg
74,174799,also,Adverb,De-also.ogg,NYI,NYI,"so, therefore, thus",https://commons.wikimedia.org/wiki/Special:FilePath/De-also.ogg
75,170877,bei,"Präposition",De-bei.ogg,NYI,NYI,"near, by, at, with, among, by, despite",https://commons.wikimedia.org/wiki/Special:FilePath/De-bei.ogg
76,167286,wer,Interrogativpronomen,De-Wer.OGG,NYI,NYI,who,https://commons.wikimedia.org/wiki/Special:FilePath/De-Wer.OGG
77,167261,immer,Adverb,De-at-immer.ogg,NYI,NYI,"always, every time",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-immer.ogg
78,166140,bitte,Antwortpartikel,De-bitte-2.ogg,NYI,NYI,"please, you're welcome, you are welcome",https://commons.wikimedia.org/wiki/Special:FilePath/De-bitte-2.ogg
79,164397,warum,Adverb,"De-Warum.ogg‎‎",NYI,NYI,"why, wherefore, how come, why so","https://commons.wikimedia.org/wiki/Special:FilePath/De-Warum.ogg‎‎"
80,159993,hab,"Konjugierte Form","",NYI,NYI,"",""
81,158838,"hören",Verb,"De-hören.ogg",NYI,NYI,"hear, obey, listen","https://commons.wikimedia.org/wiki/Special:FilePath/De-hören.ogg"
82,155796,vor,"Präposition",De-vor.ogg,NYI,NYI,"before, ago, in front of, out of, due to, for",https://commons.wikimedia.org/wiki/Special:FilePath/De-vor.ogg
83,154848,los,Adjektiv,De-los.ogg,NYI,NYI,loose,https://commons.wikimedia.org/wiki/Special:FilePath/De-los.ogg
84,151814,wieder,Adverb,De-wieder.ogg,NYI,NYI,again,https://commons.wikimedia.org/wiki/Special:FilePath/De-wieder.ogg
85,143704,finden,Verb,De-finden.ogg,NYI,NYI,"find, think",https://commons.wikimedia.org/wiki/Special:FilePath/De-finden.ogg
86,141979,sehr,Gradpartikel,De-sehr.ogg,NYI,NYI,"positively, very, much",https://commons.wikimedia.org/wiki/Special:FilePath/De-sehr.ogg
87,141770,mann,"Konjugierte Form","",NYI,NYI,"",""
88,141488,glauben,Verb,De-glauben.ogg,NYI,NYI,"believe, suppose, trust",https://commons.wikimedia.org/wiki/Special:FilePath/De-glauben.ogg
89,140795,okay,Adjektiv,De-okay.ogg,NYI,NYI,okay,https://commons.wikimedia.org/wiki/Special:FilePath/De-okay.ogg
90,139250,denn,Konjunktion,De-denn.ogg,NYI,NYI,"because, since#Konjunktion|since",https://commons.wikimedia.org/wiki/Special:FilePath/De-denn.ogg
91,138734,zum,Kontraktion,De-zum.ogg,NYI,NYI,"to the, to a",https://commons.wikimedia.org/wiki/Special:FilePath/De-zum.ogg
92,138619,leben,Verb,De-leben.ogg,NYI,NYI,live,https://commons.wikimedia.org/wiki/Special:FilePath/De-leben.ogg
93,136863,"mögen",Verb,"De-mögen.ogg",NYI,NYI,like,"https://commons.wikimedia.org/wiki/Special:FilePath/De-mögen.ogg"
94,136305,danke,Antwortpartikel,"CPIDL German - Danke.ogg",NYI,NYI,"thank you","https://commons.wikimedia.org/wiki/Special:FilePath/CPIDL German - Danke.ogg"
95,132064,komm,"Konjugierte Form","",NYI,NYI,"",""
96,129986,vielleicht,Modaladverb,De-vielleicht.ogg,NYI,NYI,"maybe, perhaps, possibly",https://commons.wikimedia.org/wiki/Special:FilePath/De-vielleicht.ogg
97,125268,nehmen,Verb,De-nehmen.ogg,NYI,NYI,"take, wreak, have, seize, do",https://commons.wikimedia.org/wiki/Special:FilePath/De-nehmen.ogg
98,124528,"müssen",Verb,"De-müssen.ogg",NYI,NYI,"must, have to","https://commons.wikimedia.org/wiki/Special:FilePath/De-müssen.ogg"
99,124513,"über","Präposition","De-über.ogg",NYI,NYI,"above, over, across, beyond, about, on","https://commons.wikimedia.org/wiki/Special:FilePath/De-über.ogg"
101,122735,ganz,Adjektiv,De-ganz.ogg,NYI,NYI,"intact, whole, full, complete, entire, total",https://commons.wikimedia.org/wiki/Special:FilePath/De-ganz.ogg
102,119786,wirklich,Adjektiv,De-wirklich.ogg,NYI,NYI,"real, natural, true, genuine",https://commons.wikimedia.org/wiki/Special:FilePath/De-wirklich.ogg
103,118169,lieb,Adjektiv,De-lieb.ogg,NYI,NYI,"nice, dear",https://commons.wikimedia.org/wiki/Special:FilePath/De-lieb.ogg
104,117929,soll,"Konjugierte Form",De-soll.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-soll.ogg
105,117720,lassen,Verb,De-lassen.ogg,NYI,NYI,"stop, quit, let, allow, make, have, cause",https://commons.wikimedia.org/wiki/Special:FilePath/De-lassen.ogg
106,117005,einfach,Adjektiv,De-einfach.ogg,NYI,NYI,"simple, simply, easy, single",https://commons.wikimedia.org/wiki/Special:FilePath/De-einfach.ogg
107,116256,nie,Adverb,De-nie.ogg,NYI,NYI,never,https://commons.wikimedia.org/wiki/Special:FilePath/De-nie.ogg
108,114064,weg,Adverb,DE-weg.ogg,NYI,NYI,away,https://commons.wikimedia.org/wiki/Special:FilePath/DE-weg.ogg
109,113841,hey,"Grußformel","",NYI,NYI,hey,""
110,107925,am,Kontraktion,"De-am.OGG‎",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-am.OGG‎"
111,106835,warten,Verb,De-warten.ogg,NYI,NYI,"wait, maintain",https://commons.wikimedia.org/wiki/Special:FilePath/De-warten.ogg
113,101264,zeit,"Präposition","",NYI,NYI,"",""
114,101033,nun,Adverb,De-nun.ogg,NYI,NYI,now,https://commons.wikimedia.org/wiki/Special:FilePath/De-nun.ogg
115,100896,verstehen,Verb,De-verstehen.ogg,NYI,NYI,"understand, interpret, consider, oneself, somebody, as, something, see, be, understood, get along, with, each, other, comprehend, apprehend, grasp, know, about, how, to, do, be, an, expert, at",https://commons.wikimedia.org/wiki/Special:FilePath/De-verstehen.ogg
116,99547,weil,Subjunktion,De-weil.ogg,NYI,NYI,"because, as, for, since",https://commons.wikimedia.org/wiki/Special:FilePath/De-weil.ogg
117,97391,bringen,Verb,De-bringen.ogg,NYI,NYI,"bring, take",https://commons.wikimedia.org/wiki/Special:FilePath/De-bringen.ogg
118,96550,heute,Temporaladverb,De-heute.ogg,NYI,NYI,"he, today, now, nowadays",https://commons.wikimedia.org/wiki/Special:FilePath/De-heute.ogg
119,94040,weit,Adjektiv,"",NYI,NYI,"vast, far, wide",""
120,93662,jemand,Indefinitpronomen,De-jemand.ogg,NYI,NYI,"someone, somebody, anyone, anybody",https://commons.wikimedia.org/wiki/Special:FilePath/De-jemand.ogg
121,93171,damit,Subjunktion,De-damit.ogg,NYI,NYI,"so that, in order to",https://commons.wikimedia.org/wiki/Special:FilePath/De-damit.ogg
122,93136,frau,Indefinitpronomen,De-Frau.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-Frau.ogg
123,91927,sichern,Verb,De-sichern.ogg,NYI,NYI,"safeguard, protect, put on a safety catch, secure, save",https://commons.wikimedia.org/wiki/Special:FilePath/De-sichern.ogg
124,89964,fragen,Verb,De-fragen.ogg,NYI,NYI,"ask, enquire",https://commons.wikimedia.org/wiki/Special:FilePath/De-fragen.ogg
125,89813,kennen,Verb,De-kennen.ogg,NYI,NYI,know,https://commons.wikimedia.org/wiki/Special:FilePath/De-kennen.ogg
126,89123,bis,Partikel,De-bis.ogg,NYI,NYI,"until, till, til, to, up to",https://commons.wikimedia.org/wiki/Special:FilePath/De-bis.ogg
127,88227,"zurück",Adverb,"BY-zurück.ogg",NYI,NYI,back,"https://commons.wikimedia.org/wiki/Special:FilePath/BY-zurück.ogg"
128,87425,helfen,Verb,De-helfen.ogg,NYI,NYI,help,https://commons.wikimedia.org/wiki/Special:FilePath/De-helfen.ogg
129,87137,reden,Verb,De-reden.ogg,NYI,NYI,"speak, talk, utter, say",https://commons.wikimedia.org/wiki/Special:FilePath/De-reden.ogg
130,86310,leid,Adjektiv,"",NYI,NYI,"",""
131,86294,"schön",Adjektiv,"De-schön.ogg",NYI,NYI,"beautiful, nice","https://commons.wikimedia.org/wiki/Special:FilePath/De-schön.ogg"
132,86036,"groß",Adjektiv,"De-groß.ogg",NYI,NYI,"big, large, adult, great","https://commons.wikimedia.org/wiki/Special:FilePath/De-groß.ogg"
133,85406,stehen,Verb,De-stehen.ogg,NYI,NYI,"stand, become",https://commons.wikimedia.org/wiki/Special:FilePath/De-stehen.ogg
134,83919,bleiben,Verb,De-bleiben.ogg,NYI,NYI,"stay, last, remain",https://commons.wikimedia.org/wiki/Special:FilePath/De-bleiben.ogg
135,83059,na,Partikel,"",NYI,NYI,well,""
136,82959,Gott,Substantiv,De-Gott.ogg,NYI,NYI,"God, deity, godhead, god",https://commons.wikimedia.org/wiki/Special:FilePath/De-Gott.ogg
137,82184,brauchen,Verb,De-brauchen.ogg,NYI,NYI,"need, use",https://commons.wikimedia.org/wiki/Special:FilePath/De-brauchen.ogg
138,80393,hallo,"Grußformel",De-hallo.ogg,NYI,NYI,"hi, hello",https://commons.wikimedia.org/wiki/Special:FilePath/De-hallo.ogg
139,79810,zwei,Numerale,De-zwei.ogg,NYI,NYI,"two, two year old",https://commons.wikimedia.org/wiki/Special:FilePath/De-zwei.ogg
140,76563,genau,Adjektiv,de-genau.ogg,NYI,NYI,"truly, strictly, exact, precise, accurate, accurately, precisely, properly, closely, particulary",https://commons.wikimedia.org/wiki/Special:FilePath/de-genau.ogg
141,76422,lass,Adjektiv,"",NYI,NYI,"",""
142,76116,sprechen,Verb,De-sprechen.ogg,NYI,NYI,"speak, propose, talk",https://commons.wikimedia.org/wiki/Special:FilePath/De-sprechen.ogg
143,74317,zur,Kontraktion,De-zur.ogg,NYI,NYI,"to the, to a, to an",https://commons.wikimedia.org/wiki/Special:FilePath/De-zur.ogg
144,73100,passieren,Verb,De-passieren.ogg,NYI,NYI,"pass, strain, filter, happen",https://commons.wikimedia.org/wiki/Special:FilePath/De-passieren.ogg
145,71313,Vater,Substantiv,De-Vater2.ogg,NYI,NYI,"father, daddy, dad",https://commons.wikimedia.org/wiki/Special:FilePath/De-Vater2.ogg
146,71059,Morgen,Toponym,"",NYI,NYI,"",""
147,70970,lang,Adjektiv,De-lang.ogg,NYI,NYI,long,https://commons.wikimedia.org/wiki/Special:FilePath/De-lang.ogg
148,69754,klaren,"Deklinierte Form","",NYI,NYI,"",""
149,69590,Leute,Substantiv,De-at-Leute.ogg,NYI,NYI,people,https://commons.wikimedia.org/wiki/Special:FilePath/De-at-Leute.ogg
150,69100,"dürfen",Verb,"De-dürfen.ogg",NYI,NYI,"may, allowed","https://commons.wikimedia.org/wiki/Special:FilePath/De-dürfen.ogg"
151,67816,halten,Verb,De-halten.ogg,NYI,NYI,"hold, keep, suppose, think",https://commons.wikimedia.org/wiki/Special:FilePath/De-halten.ogg
153,67201,ab,"Präposition",De-ab.ogg,NYI,NYI,"of, off, from",https://commons.wikimedia.org/wiki/Special:FilePath/De-ab.ogg
154,67125,tag,"Konjugierte Form","",NYI,NYI,"",""
155,66847,erst,Adverb,De-erst.ogg,NYI,NYI,"first, only, not before, just, only",https://commons.wikimedia.org/wiki/Special:FilePath/De-erst.ogg
156,66550,gerade,Adjektiv,De-gerade.ogg,NYI,NYI,"straight, even",https://commons.wikimedia.org/wiki/Special:FilePath/De-gerade.ogg
157,63441,Geld,Substantiv,De-Geld.ogg,NYI,NYI,"money, dough",https://commons.wikimedia.org/wiki/Special:FilePath/De-Geld.ogg
158,63104,durch,"Präposition",De-durch.ogg,NYI,NYI,"through, by",https://commons.wikimedia.org/wiki/Special:FilePath/De-durch.ogg
159,63086,"töten",Verb,"De-töten.ogg",NYI,NYI,kill,"https://commons.wikimedia.org/wiki/Special:FilePath/De-töten.ogg"
160,61553,mach,"Konjugierte Form","",NYI,NYI,"",""
161,61515,raus,Adverb,De-raus.ogg,NYI,NYI,out,https://commons.wikimedia.org/wiki/Special:FilePath/De-raus.ogg
162,60962,sterben,Verb,De-sterben.ogg,NYI,NYI,"die, perish, decease, depart, expire, pass away, pass by, kick the bucket, snuff it, nibble off, to cop it, buy the farm, meet one's maker, take a dirt nap, to pay the debt of nature, to be gathered to one's fathers",https://commons.wikimedia.org/wiki/Special:FilePath/De-sterben.ogg
163,60877,ob,Subjunktion,De-ob.ogg,NYI,NYI,"if, whether",https://commons.wikimedia.org/wiki/Special:FilePath/De-ob.ogg
164,59618,Mutter,Eigenname,"",NYI,NYI,"",""
165,59556,klein,Adjektiv,De-klein.ogg,NYI,NYI,"clean, small, little, uncapitalized",https://commons.wikimedia.org/wiki/Special:FilePath/De-klein.ogg
166,59449,Paar,Zahlklassifikator,De-Paar.ogg,NYI,NYI,"couple, pair",https://commons.wikimedia.org/wiki/Special:FilePath/De-Paar.ogg
167,59418,richtig,Adjektiv,De-richtig.ogg,NYI,NYI,"right, correct, exact",https://commons.wikimedia.org/wiki/Special:FilePath/De-richtig.ogg
168,59288,Sir,Substantiv,"}}, {{Audio",NYI,NYI,sir,"https://commons.wikimedia.org/wiki/Special:FilePath/}}, {{Audio"
169,59107,fahren,Verb,De-at-fahren.ogg,NYI,NYI,"go, cart, ride, sail, drive, pass, wipe, run",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-fahren.ogg
170,58838,wohl,Adverb,De-wohl.ogg,NYI,NYI,well,https://commons.wikimedia.org/wiki/Special:FilePath/De-wohl.ogg
171,58826,bekommen,Verb,De-bekommen.ogg,NYI,NYI,"get, receive",https://commons.wikimedia.org/wiki/Special:FilePath/De-bekommen.ogg
172,58313,musst,"Konjugierte Form","",NYI,NYI,"",""
173,57587,alt,Adjektiv,De-alt.ogg,NYI,NYI,old,https://commons.wikimedia.org/wiki/Special:FilePath/De-alt.ogg
174,57130,selbst,Demonstrativpronomen,De-selbst.ogg,NYI,NYI,-self,https://commons.wikimedia.org/wiki/Special:FilePath/De-selbst.ogg
175,56834,her,Adverb,De-her.ogg,NYI,NYI,"fro, ago",https://commons.wikimedia.org/wiki/Special:FilePath/De-her.ogg
176,56715,"hör","Konjugierte Form","De-hör.ogg",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/De-hör.ogg"
177,56175,sag,"Konjugierte Form",De-sag.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-sag.ogg
178,55922,arbeiten,Verb,De-arbeiten.ogg,NYI,NYI,"work, function, warp, to be employed, work",https://commons.wikimedia.org/wiki/Special:FilePath/De-arbeiten.ogg
179,55901,ohne,"Präposition",De-ohne.ogg,NYI,NYI,without,https://commons.wikimedia.org/wiki/Special:FilePath/De-ohne.ogg
180,55724,Nacht,Substantiv,De-Nacht.ogg,NYI,NYI,night,https://commons.wikimedia.org/wiki/Special:FilePath/De-Nacht.ogg
181,55697,tot,Adjektiv,De-tot.ogg,NYI,NYI,dead,https://commons.wikimedia.org/wiki/Special:FilePath/De-tot.ogg
182,53445,wieso,Adverb,"De-Wieso.ogg‎‎‎",NYI,NYI,why,"https://commons.wikimedia.org/wiki/Special:FilePath/De-Wieso.ogg‎‎‎"
183,52783,dort,Adverb,De-dort.ogg,NYI,NYI,there,https://commons.wikimedia.org/wiki/Special:FilePath/De-dort.ogg
184,52608,"natürlich",Adjektiv,"De-natürlich.ogg",NYI,NYI,"natural, normal","https://commons.wikimedia.org/wiki/Special:FilePath/De-natürlich.ogg"
185,52296,"spät",Adjektiv,"De-spät.ogg",NYI,NYI,"late, lately","https://commons.wikimedia.org/wiki/Special:FilePath/De-spät.ogg"
186,52188,verdammen,Verb,"",NYI,NYI,damn,""
187,52157,versuchen,Verb,De-versuchen.ogg,NYI,NYI,"try, tempt",https://commons.wikimedia.org/wiki/Special:FilePath/De-versuchen.ogg
188,51485,niemand,Indefinitpronomen,De-niemand.ogg,NYI,NYI,nobody,https://commons.wikimedia.org/wiki/Special:FilePath/De-niemand.ogg
189,51411,Ordnung,Substantiv,De-Ordnung.ogg,NYI,NYI,"order, tidiness",https://commons.wikimedia.org/wiki/Special:FilePath/De-Ordnung.ogg
190,50934,recht,Adjektiv,De-recht.ogg,NYI,NYI,right,https://commons.wikimedia.org/wiki/Special:FilePath/De-recht.ogg
191,50675,"erzählen",Verb,"De-erzählen.ogg",NYI,NYI,"narrate, tell","https://commons.wikimedia.org/wiki/Special:FilePath/De-erzählen.ogg"
192,50433,ins,Kontraktion,De-ins.ogg,NYI,NYI,"to the",https://commons.wikimedia.org/wiki/Special:FilePath/De-ins.ogg
194,49877,essen,Verb,De-essen.ogg,NYI,NYI,eat,https://commons.wikimedia.org/wiki/Special:FilePath/De-essen.ogg
195,49767,gar,Adjektiv,De-gar.ogg,NYI,NYI,"done, cooked",https://commons.wikimedia.org/wiki/Special:FilePath/De-gar.ogg
196,49662,geh,"Konjugierte Form","LL-Q188 (deu)-Sebastian Wallroth-geh.wav",NYI,NYI,"","https://commons.wikimedia.org/wiki/Special:FilePath/LL-Q188 (deu)-Sebastian Wallroth-geh.wav"
197,49150,vom,Kontraktion,"De-vom.ogg‎‎",NYI,NYI,"from, from the, of the","https://commons.wikimedia.org/wiki/Special:FilePath/De-vom.ogg‎‎"
